barcode,product_name,retailer_name,suspicious_price,median_price_for_barcode,price_ratio,retailer_count,reason_for_flag
7290000197548,פרידום דריי חיתולים מידה 5 12- (₪1.53 ליחידה),Super-Pharm,1.53,22.715,28.692810457516337,2,Unit/Package Mismatch (Lowest price for barcode with 28.7x variance)
7296168154232,סוויטי שקיות לאחסון חלב אם 25 שקיות (₪1.20 ליחידה),Be Pharm,33.9,19.9,28.25,3,Unit/Package Mismatch (Same barcode has 28.2x price variance)
7296168154232,סוויטי שקיות לאחסון חלב אם 25 שקיות (₪1.20 ליחידה),Good Pharm,19.9,19.9,28.25,3,Unit/Package Mismatch (Same barcode has 28.2x price variance)
7296168154232,סוויטי שקיות לאחסון חלב אם 25 שקיות (₪1.20 ליחידה),Super-Pharm,1.2,19.9,28.25,3,Unit/Package Mismatch (Lowest price for barcode with 28.2x variance)
3574660571769,שפתון לחות SPF20 (₪560.42 ל-),Super-Pharm,560.42,290.15999999999997,28.161809045226132,2,Unit/Package Mismatch (Same barcode has 28.2x price variance)
3574660571769,שפתון לחות SPF20 (₪560.42 ל-),Good Pharm,19.9,290.15999999999997,28.161809045226132,2,Unit/Package Mismatch (Lowest price for barcode with 28.2x variance)
4054596760080,פלסטרים נקסקר מעורב,Be Pharm,28.72,28.72,27.416666666666668,3,Unit/Package Mismatch (Same barcode has 27.4x price variance)
4054596760080,פלסטרים נקסקר מעורב,Super-Pharm,1.2,28.72,27.416666666666668,3,Unit/Package Mismatch (Lowest price for barcode with 27.4x variance)
4054596760080,פלסטרים נקסקר מעורב,Good Pharm,32.9,28.72,27.416666666666668,3,Unit/Package Mismatch (Same barcode has 27.4x price variance)
8700216350310,אקטיב בייבי דריי חיתולים בייבי דריי מידה 4+ 10- (₪1.53 ליחידה),Be Pharm,41.9,21.715,27.38562091503268,2,Unit/Package Mismatch (Same barcode has 27.4x price variance)
8700216350310,אקטיב בייבי דריי חיתולים בייבי דריי מידה 4+ 10- (₪1.53 ליחידה),Super-Pharm,1.53,21.715,27.38562091503268,2,Unit/Package Mismatch (Lowest price for barcode with 27.4x variance)
7290013133816,לחות לגבר בודד (₪352.08 ל-),Super-Pharm,352.08,12.9,27.293023255813953,3,Potential Pricing Error (Outlier)
4005900273482,לחות לשפתיים בטעם פטל שחור (₪352.08 ל-),Super-Pharm,352.08,12.9,27.293023255813953,3,Potential Pricing Error (Outlier)
4005808650903,לחות הידרו קר בודד (₪352.08 ל-),Super-Pharm,352.08,12.9,27.293023255813953,3,Potential Pricing Error (Outlier)
4005808502004,לחות רוז ורוד בליסטר (₪352.08 ל-),Super-Pharm,352.08,12.9,27.293023255813953,3,Potential Pricing Error (Outlier)
8700216891134,פרימיום חיתולים מידה 2 (₪1.25 ליחידה),Super-Pharm,1.25,33.9,27.119999999999997,3,Unit/Package Mismatch (Lowest price for barcode with 27.1x variance)
8700216891134,פרימיום חיתולים מידה 2 (₪1.25 ליחידה),Good Pharm,33.9,33.9,27.119999999999997,3,Unit/Package Mismatch (Same barcode has 27.1x price variance)
8700216891134,פרימיום חיתולים מידה 2 (₪1.25 ליחידה),Be Pharm,33.9,33.9,27.119999999999997,3,Unit/Package Mismatch (Same barcode has 27.1x price variance)
7290100413463,ACU-OR שפתון טיפולי לשפתיים יבשות ולהגנה מהשמש SPF50+ (₪908.89 ל-),Good Pharm,33.9,471.395,26.810914454277288,2,Unit/Package Mismatch (Lowest price for barcode with 26.8x variance)
7290100413463,ACU-OR שפתון טיפולי לשפתיים יבשות ולהגנה מהשמש SPF50+ (₪908.89 ל-),Super-Pharm,908.89,471.395,26.810914454277288,2,Unit/Package Mismatch (Same barcode has 26.8x price variance)
7290017847696,SAFFROLEX ספרולקס,Good Pharm,89.9,79.9,26.755952380952383,3,Unit/Package Mismatch (Same barcode has 26.8x price variance)
7290017847696,SAFFROLEX ספרולקס,Be Pharm,79.9,79.9,26.755952380952383,3,Unit/Package Mismatch (Same barcode has 26.8x price variance)
7290017847696,SAFFROLEX ספרולקס,Super-Pharm,3.36,79.9,26.755952380952383,3,Unit/Package Mismatch (Lowest price for barcode with 26.8x variance)
8700216350396,אקטיב בייבי דריי חיתולים בייבי דריי מידה 5 11- (₪1.59 ליחידה),Super-Pharm,1.59,21.745,26.352201257861633,2,Unit/Package Mismatch (Lowest price for barcode with 26.4x variance)
8700216350396,אקטיב בייבי דריי חיתולים בייבי דריי מידה 5 11- (₪1.59 ליחידה),Be Pharm,41.9,21.745,26.352201257861633,2,Unit/Package Mismatch (Same barcode has 26.4x price variance)
7290111347252,אקסטרה קר חיתולים מידה 6 16- (₪2.11 ליחידה),Be Pharm,54.9,54.9,26.018957345971565,3,Unit/Package Mismatch (Same barcode has 26.0x price variance)
7290111347252,אקסטרה קר חיתולים מידה 6 16- (₪2.11 ליחידה),Good Pharm,54.9,54.9,26.018957345971565,3,Unit/Package Mismatch (Same barcode has 26.0x price variance)
7290111347252,אקסטרה קר חיתולים מידה 6 16- (₪2.11 ליחידה),Super-Pharm,2.11,54.9,26.018957345971565,3,Unit/Package Mismatch (Lowest price for barcode with 26.0x variance)
3596204711394,EVERON (₪852.08 ל-),Super-Pharm,852.08,442.49,25.89908814589666,2,Unit/Package Mismatch (Same barcode has 25.9x price variance)
3596204711394,EVERON (₪852.08 ל-),Good Pharm,32.9,442.49,25.89908814589666,2,Unit/Package Mismatch (Lowest price for barcode with 25.9x variance)
7290013621221,"מגה פרוביוטיק 500 מ""ג",Be Pharm,49.9,49.9,25.88888888888889,3,Unit/Package Mismatch (Same barcode has 25.9x price variance)
7290013621221,"מגה פרוביוטיק 500 מ""ג",Good Pharm,69.9,49.9,25.88888888888889,3,Unit/Package Mismatch (Same barcode has 25.9x price variance)
7290013621221,"מגה פרוביוטיק 500 מ""ג",Super-Pharm,2.7,49.9,25.88888888888889,3,Unit/Package Mismatch (Lowest price for barcode with 25.9x variance)
7290111347856,אוברנייטס חיתול לילה מידה 3 6- (₪2.07 ליחידה),Super-Pharm,2.07,27.735,25.797101449275363,2,Unit/Package Mismatch (Lowest price for barcode with 25.8x variance)
7290111347870,אוברנייטס חיתול לילה מידה 5 12- (₪2.07 ליחידה),Be Pharm,53.4,27.735,25.797101449275363,2,Unit/Package Mismatch (Same barcode has 25.8x price variance)
7290111347870,אוברנייטס חיתול לילה מידה 5 12- (₪2.07 ליחידה),Super-Pharm,2.07,27.735,25.797101449275363,2,Unit/Package Mismatch (Lowest price for barcode with 25.8x variance)
7290111347863,אוברנייטס חיתול לילה מידה 4 8- (₪2.07 ליחידה),Super-Pharm,2.07,27.735,25.797101449275363,2,Unit/Package Mismatch (Lowest price for barcode with 25.8x variance)
7290111347863,אוברנייטס חיתול לילה מידה 4 8- (₪2.07 ליחידה),Be Pharm,53.4,27.735,25.797101449275363,2,Unit/Package Mismatch (Same barcode has 25.8x price variance)
