barcode,product_name,retailer_name,suspicious_price,median_price_for_barcode,reason_for_flag
1243343310026,LAXURY מבשם בדים יוקרתי - בניחוח בראשית (₪8.60 ל-),Super-Pharm,8.6,8.6,Suspiciously Low Price
1243343310033,מבשם בדים יוקרתי - בניחוח מילאנו (₪8.60 ל-),Super-Pharm,8.6,8.6,Suspiciously Low Price
1244444425725,קופסא + טיפסים לבניית ציפורניים חצי שקוף (₪0.17 ליחידה),Super-Pharm,0.17,0.17,Suspected Unit Price (Keyword)
1244444425732,גלגל מדבקות טפלון לבניית ציפורניים (₪0.14 ליחידה),Super-Pharm,0.14,0.14,Suspected Unit Price (Keyword)
1244444425749,חבילת פצירות דוט dot Cirepil דו צדדיות (₪4.83 ליחידה),Super-Pharm,4.83,4.83,Suspected Unit Price (Keyword)
1244444425817,רצועות שעווה קטנות להסרת שעווה 20/7 ס”מ (₪0.23 ליחידה),Super-Pharm,0.23,0.23,Suspected Unit Price (Keyword)
1244444425886,שפדלים מקלות עץ צרים 200 יח בחבילה לשימוש חד פעמי (₪0.10 ליחידה),Super-Pharm,0.1,0.1,Suspected Unit Price (Keyword)
1244444425893,שפדלים מקלות עץ גדולים 100 יח בחבילה לשימוש חד פעמי (₪0.15 ליחידה),Super-Pharm,0.15,0.15,Suspected Unit Price (Keyword)
1244444426067,מיכל חיטוי לכלי עבודה מכיל 1500 ML (₪0.13 ל-),Super-Pharm,0.13,0.13,Suspiciously Low Price
1244444430156,דפילבוקס 400 יח׳ DEPILBOX CLASSIC דפילב 400 יח׳ (₪0.30 ליחידה),Super-Pharm,0.3,0.3,Suspected Unit Price (Keyword)
1244444430163,מגן טבעת 50 יח׳ COLLAR RINGS דפילב 50 יח׳ (₪1.18 ליחידה),Super-Pharm,1.18,1.18,Suspected Unit Price (Keyword)
1244444430187,מחזיק לפחית שעווה WAX CAN HOLDER דפילב 50 יח׳ (₪0.70 ליחידה),Super-Pharm,0.7,0.7,Suspected Unit Price (Keyword)
1244444430224,ספטולות גוף 100 יח׳ BODY APPLICATOR SPATULAS דפילב 100 יח׳ (₪0.19 ליחידה),Super-Pharm,0.19,0.19,Suspected Unit Price (Keyword)
1244444430286,רצועות שעווה לגוף 100 יח׳ BODY STRIPS דפילב 100 יח׳ (₪0.35 ליחידה),Super-Pharm,0.35,0.35,Suspected Unit Price (Keyword)
1244444430293,רצועות שעווה לפנים 100 יח׳ FACIAL STRIPS דפילב 100 יח׳ (₪0.35 ליחידה),Super-Pharm,0.35,0.35,Suspected Unit Price (Keyword)
1244444430538,שקית ניילון פרפין 100יח׳ PLASTIC LINERS דפילב 100 יח׳ (₪1.05 ליחידה),Super-Pharm,1.05,1.05,Suspected Unit Price (Keyword)
1244444430682,מסיר לק מהיר בתוספת אלוורה 500 מל פארמקס (₪5.80 ל-),Super-Pharm,5.8,5.8,Suspiciously Low Price
1244444430712,אלכוהול 70% לחיטוי מהיר ומקצועי 500 מל פארמקס (₪5.80 ל-),Super-Pharm,5.8,5.8,Suspiciously Low Price
1244444430736,אלכוהול 96% לחיטוי מהיר ומקצועי 500 מל פארמקס (₪5.80 ל-),Super-Pharm,5.8,5.8,Suspiciously Low Price
1244444447802,חבילת כפפות ניטריל גודל L שחורות ללא אבקה (₪0.29 ליחידה),Super-Pharm,0.29,0.29,Suspected Unit Price (Keyword)
1244444448205,סרום מעכב צמיחה דפילב DEPILEVE (₪11.45 ליחידה),Super-Pharm,11.45,11.45,Suspected Unit Price (Keyword)
1244444449523,דלי מגבונים לחיטוי 70% אלכוהול PHARMAX פארמקס (₪0.25 ליחידה),Super-Pharm,0.25,0.25,Suspected Unit Price (Keyword)
12498655425,שלוס גליצרין צמחי 99.7% (₪9.98 ל-),Super-Pharm,9.98,9.98,Suspiciously Low Price
1254924911495,בדים מרוכז במיוחד - הוטל – (₪4.27 ל-),Super-Pharm,4.27,4.27,Suspiciously Low Price
1254924911532,שומנים לניקוי תנורים – (₪5.05 ל-),Super-Pharm,5.05,5.05,Suspiciously Low Price
1254924911563,לניקוי חלונות – (₪3.32 ל-),Super-Pharm,3.32,3.32,Suspiciously Low Price
1254924911662,Actizyme אקטיזיים G - נוזל מוכן לשימוש להדברת יתושי עש - (₪6.99 ל-),Super-Pharm,6.99,6.99,Suspiciously Low Price
1254924911693,אקטיזיים G - מנטרל ריחות רעים - (₪7.13 ל-),Super-Pharm,7.13,7.13,Suspiciously Low Price
1254924912065,ספריי שמן ציטרונלה דוחה יתושים - (₪7.49 ל-),Super-Pharm,7.49,7.49,Suspiciously Low Price
1279879810013,חיתולי פריבל מידה XS (₪2.81 ליחידה),Super-Pharm,2.81,2.81,Suspected Unit Price (Keyword)
1279879811119,160 מגבוני מדיוויפס לחיטוי Mediwipes (₪0.16 ליחידה),Super-Pharm,0.16,0.16,Suspected Unit Price (Keyword)
13661657004557,לאחסון חלב אם והאכלה (₪4 ליחידה),Super-Pharm,4.0,4.0,Suspected Unit Price (Keyword)
1400100114567,ניקוי למכונת כביסה (₪5.83 ליחידה),Super-Pharm,5.83,5.83,Suspected Unit Price (Keyword)
1439074,שלישיית ספוגי ליפה לרחצה,Be Pharm,5.0,5.0,Suspiciously Low Price
1439432,ספוג רחצה עיסוי,Be Pharm,5.0,5.0,Suspiciously Low Price
146928,משחת טום וג''רי ענבים,Be Pharm,9.0,9.0,Suspiciously Low Price
146997,משחת טום וג''רי מסטיק,Be Pharm,9.0,9.0,Suspiciously Low Price
16000507777,נייטשר ואלי - קראנצ'י שיבולת שועל שוקולד מריר בודד 42 גרם,Good Pharm,6.0,6.0,Suspiciously Low Price
18176785508,טורינו - טבלת שוקולד חלב 100 גרם,Good Pharm,16.9,16.9,Suspected Unit Price (Keyword)
192333042793,MOISTURE SURGE INTENSE ג'ל לחות עשיר לעור יבש מאוד עד יבש מעורב (₪400 ל-),Super-Pharm,400.0,90.0,Potential Pricing Error
192333066928,MOISTURE SURGE קרם לחות במרקם ג'ל 100 שעות (₪400 ל-),Super-Pharm,400.0,90.0,Potential Pricing Error
192333101674,סרום טיפולי לתיקון קמטים,Super-Pharm,1350.0,303.75,Potential Pricing Error
192333102749,קרם עיניים סמארט קליניק,Super-Pharm,2133.33,240.0,Potential Pricing Error
192333189764,ANTI BLEMISH ג'ל לטיפול בפצעונים (₪825 ל-),Super-Pharm,825.0,132.0,Potential Pricing Error
194734000075,Teimim Assortie - Licorice Candy - סוכריות ליקריץ אסורטי גרם (₪8.76 ל-),Super-Pharm,8.76,8.76,Suspiciously Low Price
25675301092,פשקס - חמצוצים מקלות צבעונים 50 גרם,Good Pharm,5.9,5.9,Suspiciously Low Price
25675301108,פשקס - חמצוצים מקלות תות 50 גרם,Good Pharm,5.9,5.9,Suspiciously Low Price
25675301122,פשקס - חמצוצים מקלות פירות יער 50 גרם,Good Pharm,5.9,5.9,Suspiciously Low Price
25675301153,פשקס - חמצוצים מקלות פטל 50 גרם,Good Pharm,5.9,5.9,Suspiciously Low Price
25675301177,פשקס - חמצוצים מקלות דובדבן 50 גרם,Good Pharm,5.9,5.9,Suspiciously Low Price
25675301184,פשקס - חמצוצים מקלות קולה 50 גרם,Good Pharm,5.9,5.9,Suspiciously Low Price
25675301207,פשקס - חמצוצים מקלות תפוח עץ 50 גרם,Good Pharm,5.9,5.9,Suspiciously Low Price
27084086263,מאטצ' בוקס אקספלורר,Good Pharm,8.9,8.9,Suspiciously Low Price
2730521,קיסמי אוזניים בלונס,Be Pharm,6.9,6.9,Suspiciously Low Price
3014260112080,מברשת שיניים 3D WHITE מדיום 40,Super-Pharm,2.0,11.0,Suspiciously Low Price
3014260228668,ג'ילט קצף גילוח אורגינל (₪8.95 ל-),Super-Pharm,8.95,8.95,Suspiciously Low Price
3014260239640,ג'ילט מאך 3 סכיני גילוח רב פעמי 8 סכינים (₪11.74 ליחידה),Super-Pharm,11.74,53.32,Suspected Unit Price (Keyword)
3014260239640,ג'ילט מאך 3 סכיני גילוח רב פעמי 8 סכינים (₪11.74 ליחידה),Be Pharm,94.9,53.32,Suspected Unit Price (Keyword)
3014260262709,סכיני גילוח לנשים רב פעמי (₪12.97 ליחידה),Super-Pharm,12.97,39.95,Suspected Unit Price (Keyword)
3014260262709,סכיני גילוח לנשים רב פעמי (₪12.97 ליחידה),Good Pharm,39.9,39.95,Suspected Unit Price (Keyword)
3014260262709,סכיני גילוח לנשים רב פעמי (₪12.97 ליחידה),Kolbo Yehuda,40.0,39.95,Suspected Unit Price (Keyword)
3014260262709,סכיני גילוח לנשים רב פעמי (₪12.97 ליחידה),Be Pharm,56.5,39.95,Suspected Unit Price (Keyword)
3014260280772,חוט דנטלי מנטה עם שעווה 50 מטר (₪0.46 ל-1 מטר),Super-Pharm,0.46,0.46,Suspiciously Low Price
3014260836665,PRO-EXPERT מברשת שיניים להגנה מקיפה 35 רך (₪21.95 ליחידה),Super-Pharm,21.95,32.425,Suspected Unit Price (Keyword)
3014260836665,PRO-EXPERT מברשת שיניים להגנה מקיפה 35 רך (₪21.95 ליחידה),Be Pharm,42.9,32.425,Suspected Unit Price (Keyword)
3034250007813,כיס טישו מארז (₪1.41 ליחידה),Super-Pharm,1.41,7.655,Suspected Unit Price (Keyword)
3034250007813,כיס טישו מארז (₪1.41 ליחידה),Good Pharm,13.9,7.655,Suspected Unit Price (Keyword)
3045206312257,מגבונים לחיטוי כללי 36 יח' (₪0.41 ליחידה),Super-Pharm,0.41,5.205,Suspected Unit Price (Keyword)
3045206312257,מגבונים לחיטוי כללי 36 יח' (₪0.41 ליחידה),Good Pharm,10.0,5.205,Suspected Unit Price (Keyword)
3046920028363,לינדט אקסלנס שוקולד 85% 100 גרם,Super-Pharm,27.9,27.9,Suspected Unit Price (Keyword)
3179730011024,"פרייה - מים מוגזים 330 מ""ל בודד",Good Pharm,5.9,5.9,Suspiciously Low Price
32147230,"סיצילייה - מיץ לימון משומר   200 מ""ל",Good Pharm,7.9,7.9,Suspiciously Low Price
33732000765,מקס - מגבונים לניקוי משקפיים,Good Pharm,6.0,6.0,Suspiciously Low Price
34000250103,ריזס - חטיף בטעם שוקולד ממולא קרם בוטנים וקרמל 39 גרם,Good Pharm,7.9,7.9,Suspiciously Low Price
