retailer_product_id,barcode,product_name,original_retailer_name,current_price,pack_size,normalized_price,store_id,can_normalize
10396206,0051131997172,3M נקסקר פלסטר אקטיב מרופד נצמד לעור לח רחב מאוד (₪5.11 ליחי,3M נקסקר פלסטר אקטיב מרופד נצמד לעור לח רחב מאוד (₪5.11 ליחי,5.11,3.0,15.330000000000002,52001,True
10396207,0051131000162,"3M נקסקר אגד רפואי דביק מנייר - עדין ונושם ""2 9.14 מטר (₪3.3","3M נקסקר אגד רפואי דביק מנייר - עדין ונושם ""2 9.14 מטר (₪3.3",3.38,14.0,47.32,52001,True
10396208,7290013575326,"פד לכויות 10X10 ס""מ 10 יח","פירסט און פד לכוויות 10*10 ס""מ (₪2.39 ליחידה)",2.39,10.0,23.900000000000002,52001,True
10396209,0051131000148,"3M נקסקר אגד רפואי דביק מנייר - עדין ונושם ""0.5 9.14 מטר (₪1","3M נקסקר אגד רפואי דביק מנייר - עדין ונושם ""0.5 9.14 מטר (₪1",1.42,14.0,19.88,52001,True
10396210,4054596745780,נקסקר אקטיב אחיד,3M נקסקר פלסטר אקטיב מרופד נצמד לעור לח גודל אחיד (₪1.20 ליח,1.2,3.0,3.5999999999999996,52001,True
10396211,7290113820166,"לייף אגד רפואי מבד דמוי משי 1.25 ס""מ*5 מטר 5 מטר (₪2.98 ל-1 ","לייף אגד רפואי מבד דמוי משי 1.25 ס""מ*5 מטר 5 מטר (₪2.98 ל-1 ",2.98,5.0,14.9,52001,True
10396213,0051131000155,"3M נקסקר אגד רפואי דביק מנייר - עדין ונושם ""1 9.14 מטר (₪2.0","3M נקסקר אגד רפואי דביק מנייר - עדין ונושם ""1 9.14 מטר (₪2.0",2.07,14.0,28.979999999999997,52001,True
10396214,0051131566613,"3M נקסקר אגד רפואי דביק שקוף - גמיש במיוחד ""2 9.14 מטר (₪4.0","3M נקסקר אגד רפואי דביק שקוף - גמיש במיוחד ""2 9.14 מטר (₪4.0",4.04,14.0,56.56,52001,True
10396215,4054596918320,נקסקר דואו מגוון,"3M נקסקר דואו פלסטרים בשלושה גדלים: 24x29 מ""מ 22x57 מ""מ 76x2",2.04,3.0,6.12,52001,True
10396216,4054596918337,נקסקר דואו מעטפית,"3M נקסקר דואו פלסטרים בשני גדלים: 29x76 מ""מ 22x57 מ""מ (₪2.61",2.61,3.0,7.83,52001,True
10396217,4054596918344,נקסקר דואו רחב,"3M נקסקר דואו פלסטרים גודל: 102x51 מ""מ (₪7.18 ליחידה)",7.18,3.0,21.54,52001,True
10396218,7290103439538,"לייף תחבושת אלסטית 10 ס""מ 4.5 מטר 4.5 מטר (₪5.09 ל-1 מטר)","לייף תחבושת אלסטית 10 ס""מ 4.5 מטר 4.5 מטר (₪5.09 ל-1 מטר)",5.09,5.0,25.45,52001,True
10396220,123456789102,SpiderTech קינזיוטייפ לגב תחתון - ספיידרטק 10 יח (₪7.90 ליחי,SpiderTech קינזיוטייפ לגב תחתון - ספיידרטק 10 יח (₪7.90 ליחי,7.9,10.0,79.0,52001,True
10396224,8809273950454,Activix אקסטרים טייפ קינזיולוגי בז' מוזהב (₪22.18 ל-1 מטר),Activix אקסטרים טייפ קינזיולוגי בז' מוזהב (₪22.18 ל-1 מטר),22.18,1.0,22.18,52001,True
10396229,0051131000209,"3M נקסקר אגד רפואי דביק מבד - עמיד וחזק ""1 9.14 מטר (₪3.38 ל","3M נקסקר אגד רפואי דביק מבד - עמיד וחזק ""1 9.14 מטר (₪3.38 ל",3.38,14.0,47.32,52001,True
10396230,0051131995260,3M נקסקר פלסטר אולטרה נמתח – במגוון גדלים (₪1.20 ליחידה),3M נקסקר פלסטר אולטרה נמתח – במגוון גדלים (₪1.20 ליחידה),1.2,3.0,3.5999999999999996,52001,True
10396231,0051131664296,"3M נקסקר אגד רפואי דביק מנייר - עדין ונושם ""1 9.14 מטר (₪2.2","3M נקסקר אגד רפואי דביק מנייר - עדין ונושם ""1 9.14 מטר (₪2.2",2.29,14.0,32.06,52001,True
10396233,7290018104941,פלסטר נקסקר בקופסת פח,3M נקסקר פלסטר בקופסת פח מלבניים+ווטרפרוף + (₪1.03 ליחידה),1.03,3.0,3.09,52001,True
10396237,4015400966944,קליר בלו בדיקת הריון מארז זוג (₪32.95 ליחידה),קליר בלו בדיקת הריון מארז זוג (₪32.95 ליחידה),32.95,2.0,65.9,52001,True
10396241,7296168100017,TopMed ערכה לבדיקת הריון זוג (₪17.45 ליחידה),TopMed ערכה לבדיקת הריון זוג (₪17.45 ליחידה),17.45,2.0,34.9,52001,True
10396283,7290019755067,Secret de Joie Revive'n Play - ג'ל סיכה (לובריקנט) ולחות מוש,Secret de Joie Revive'n Play - ג'ל סיכה (לובריקנט) ולחות מוש,29.8,5.0,149.0,52001,True
